name,date,type,fix,start_time,duration_minutes,importance,tags
Sleep,1,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,1,food,flexible,Any,30,5,#food #morning
Math Lecture,1,study,fixed,09:30,80,10,#school #math
Math Practice,1,study,flexible,Any,90,9,#math #practice
Work Shift,1,work,fixed,15:00,240,10,#work
Sleep,2,sleep,fixed,00:00,420,10,#sleep #health
Project Coding,2,study,flexible,Any,120,9,#project #coding #optimizer
Gym,2,exercise,flexible,Any,60,7,#fitness
Friend Meetup,2,event,fixed,18:30,90,6,#social
Sleep,3,sleep,fixed,00:00,420,10,#sleep #health
AI Lecture,3,study,fixed,10:00,80,10,#school #ai
Assignment Work,3,study,flexible,Any,150,9,#assignment #school
Dinner,3,food,flexible,Any,45,6,#food #dinner
Sleep,4,sleep,fixed,00:00,420,10,#sleep #health
Work Shift,4,work,fixed,09:00,300,10,#work
Grocery Shopping,4,event,flexible,Any,60,5,#errands #food
Workout,4,exercise,flexible,Any,60,7,#fitness
Sleep,5,sleep,fixed,00:00,420,10,#sleep #health
Study Review,5,study,flexible,Any,120,8,#review #school
Club Event,5,event,fixed,16:00,120,6,#club #social
Dinner,5,food,flexible,Any,45,6,#food #dinner
Sleep,6,sleep,fixed,00:30,480,10,#sleep #weekend
Long Project Session,6,study,flexible,Any,180,8,#project #deepwork
Exercise,6,exercise,flexible,Any,75,7,#fitness
Entertainment Block,6,entertainment,flexible,Any,120,4,#relax
Sleep,7,sleep,fixed,00:30,480,10,#sleep #weekend
Meal Prep,7,food,flexible,Any,90,6,#food #prep
Weekly Planning,7,event,flexible,Any,45,7,#planning
Assignment Final Check,7,study,flexible,Any,120,9,#assignment #review
