name,date,type,fix,start_time,duration_minutes,importance,tags
Sleep,1,sleep,fixed,00:00,420,10,#sleep #health
Morning Routine,1,event,fixed,07:00,45,6,#routine #personal
Breakfast,1,food,flexible,Any,30,6,#food #morning
CMPT 310 Lecture,1,study,fixed,09:00,80,10,#school #cmpt310 #lecture
Review Lecture Notes,1,study,flexible,Any,90,9,#school #cmpt310 #review
Lunch,1,food,flexible,Any,45,6,#food #lunch
Work Shift,1,work,fixed,14:00,240,10,#work
Gym,1,exercise,flexible,Any,60,7,#fitness #health
Dinner,1,food,flexible,Any,45,6,#food #dinner
Relax / Gaming,1,entertainment,flexible,Any,60,4,#relax
